Region,Availability Zone,Instance Name,Instance ID,Instance Type,Lifecycle,AMI ID,AMI Name
us-west-1,us-west-1a,prod-ryuk,i-0189ea12f95a3a8e0,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,ip-10-202-182-40.us-west-1.compute.internal,i-0360d688708fe4640,m6g.xlarge,spot,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1a,prod-sms-shared,i-08a1fceb6ab834e4d,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,ip-10-202-190-20.us-west-1.compute.internal,i-00b5801bd26935b01,m6gd.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1a,ip-10-202-147-242.us-west-1.compute.internal,i-00fb811979886c138,m6gd.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1a,prod-sms-shared,i-0a91ebab63fd8b1ae,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-sms-shared,i-0a7448e530d8d92b3,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-zentrunk,i-082c404c0b62e7f68,c6g.large,On-demand,ami-0502f5e251340b89e,bottlerocket-aws-ecs-2-aarch64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-zentrunk-rtpengine-rtpengine,i-0fccd4e0c79aa9c85,c5.large,On-demand,ami-04bff186e8aeecf83,plivo/amzn2-ami-ecs-hvm-2.0.1709402848-65e36ae0-57e0-138f-6ffc-ffbcd2adce9e-x86_64-ebs
us-west-1,us-west-1a,prod-zentrunk-rtpengine-rtpengine,i-0556024bcd0c61533,c5.large,On-demand,ami-04bff186e8aeecf83,plivo/amzn2-ami-ecs-hvm-2.0.1709402848-65e36ae0-57e0-138f-6ffc-ffbcd2adce9e-x86_64-ebs
us-west-1,us-west-1a,prod-zentrunk-app-server,i-0fc210983fc1e802a,c5.large,On-demand,ami-04bff186e8aeecf83,plivo/amzn2-ami-ecs-hvm-2.0.1709402848-65e36ae0-57e0-138f-6ffc-ffbcd2adce9e-x86_64-ebs
us-west-1,us-west-1a,prod-central-accsrv,i-0b17c25c5bc492173,m5.large,On-demand,ami-09c209f7cb602af34,plivo/amzn2-ami-ecs-hvm-2.0.1718313299-666b6153-a917-5365-0c6f-7ec3778d7f22-x86_64-ebs
us-west-1,us-west-1a,prod-central-accsrv,i-02c12a3f7b779a2de,m5.large,On-demand,ami-09c209f7cb602af34,plivo/amzn2-ami-ecs-hvm-2.0.1718313299-666b6153-a917-5365-0c6f-7ec3778d7f22-x86_64-ebs
us-west-1,us-west-1a,prod-mms,i-09ac9997cd579c8c1,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-sms-shared,i-0159c5f7cb8bd3581,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-sms-shared,i-0d74c33d8539081b6,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,ip-10-202-139-174.us-west-1.compute.internal,i-0c78e996d2c6ac943,c5a.4xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1a,prod-sms-shared,i-0a134b038e8c6f434,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-sms-shared,i-0f9df4a38e793b58c,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-phlo,i-06180ecf08ab041b0,m5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
